b_brand_norm,b_count,a_brand_norm,a_count,score
e l f,223,e l f cosmetics,151,100.0
amy s,75,amy s kitchen,20,100.0
l oreal,66,l oreal paris,26,100.0
nature s path organic,47,nature s path,13,100.0
bigelow,40,bigelow tea,39,100.0
so delicious dairy free,35,so delicious,12,100.0
bush s best,32,bush s,29,100.0
stonyfield organic,28,stonyfield,15,100.0
toll house,27,nestl toll house,11,100.0
bell and evans,26,bell,14,100.0
lindt lindor,25,lindt,106,100.0
good to go,24,good,17,100.0
hero,22,hero cosmetics,12,100.0
diamond cosmetics,21,diamond,13,100.0
u by kotex,21,kotex,48,100.0
mars wrigley,21,mars,50,100.0
rachael ray nutrish,20,nutrish,40,100.0
clif,19,clif bar,18,100.0
coors,19,coors light,14,100.0
voortman bakery,18,voortman,12,100.0
mt olive,18,mt olive pickle,15,100.0
suave essentials,15,suave,178,100.0
new york shuk,14,york,13,100.0
feel good foods,14,good,17,100.0
c4,13,c4 energy,19,100.0
death wish coffee co,13,death wish coffee,26,100.0
athletic,13,athletic works,719,100.0
red apple bombshell,12,apple,63,100.0
monster energy ultra,12,monster energy,28,100.0
david,12,david protein,21,100.0
golden,11,golden books,13,100.0
berkley green,11,berkley,154,100.0
adams furniture,11,adams,16,100.0
wyler s,10,wyler s light,19,100.0
hal s new york,10,york,13,100.0
covergirl olay,10,covergirl,107,100.0
degree men,10,degree,32,100.0
suave kids,10,suave,178,100.0
coca cola zero sugar,10,coca cola,29,100.0
acme,9,acme tackle,11,100.0
daily s,9,daily s cocktails,12,100.0
for wellness,9,wellness,25,100.0
mike s mighty good,8,good,17,100.0
truly hard seltzer,8,truly,12,100.0
earth s best organic,8,earth s best,48,100.0
oikos pro,8,oikos,12,100.0
mason dixie,8,dixie,17,100.0
traeger pellet grills llc,8,traeger pellet grills,11,100.0
cabot,8,cabot creamery,37,100.0
real food from the ground up,7,ground up,19,100.0
good health,7,good,17,100.0
yehuda matzos,7,yehuda,16,100.0
rice krispies,7,rice krispies treats,12,100.0
dixie ultra,7,dixie,17,100.0
jack and annie s,6,annie s,19,100.0
nivea men,6,nivea,23,100.0
goli nutrition,6,goli,11,100.0
raw,6,raw sugar,20,100.0
good seasons,6,good,17,100.0
spectrum,6,spectrum naturals,11,100.0
band aid brand,6,band aid,19,100.0
oikos triple zero,6,oikos,12,100.0
jennie o,6,jennie o turkey store,13,100.0
made good,6,good,17,100.0
wise bar,6,wise,14,100.0
ryse,6,ryse up supplements,16,100.0
simply 7,5,simply,42,100.0
good cause greetings,5,good,17,100.0
suja organic,5,suja,13,100.0
eastern,5,great eastern entertainment,24,100.0
better,5,better homes and gardens,1319,100.0
michelob,5,michelob ultra,19,100.0
samuel smith s,5,smith s,10,100.0
scott and jon s,5,scott,33,100.0
sugar in the raw,5,raw sugar,20,100.0
innovasian,5,innovasian cuisine,11,100.0
honey mama s,5,mama,11,100.0
cover girl,6,covergirl,107,94.73684210526315
air heads,6,airheads,21,94.11764705882354
tresemme,30,tresemm,45,93.33333333333333
phillips,9,philips,45,93.33333333333333
nescafe,8,nescaf,14,92.3076923076923
eboost,9,boost,18,90.9090909090909
